,TÊN SÁCH,Sl in,SL nhà in gửi,"Sl còn lại 
chưa giao","Tổng 
tại kho",1/6,13/6,17/7,18/8,20/8,27/8,29/8,6/9,21/9,30/9,2/10,4/10,14/10,11/11,15/11,25/11,30/11,7/12,18/12,20/12,27/12,28/12,23/1,7/2,18/3,25/3,26/3,31/3,1/4,8/4,28/7,11/9,30/12,31/12,6/1,23/3,13/5,18/5,26/5
,,,Đã giao,,,132,900,372,154,144,546,1635,2475,408,540,59,100,70,60,1115,566,285,15,1441,1297,42,310,520,1227,2471,550,700,110,270,330,4800,11648,,,,,,,
1,Bệnh tưởng ,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Người biển lận,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Trưởng giả học làm sang ,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ondine ,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Khách ,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Không có vua ,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Vĩnh biệt ,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tục ca lệ,1000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tê-lê-mặc phiêu lưu ký ,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Tâm hồn và hình thức,2000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Mộc thần nữ ,3000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Một câu chuyện từ những đụn cát ,3000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Nàng tình nhân hờ ,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tiện bút 1,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Middlemarch - Tập 1,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Miếng da lừa ,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ba người ngự lâm pháo thủ,2000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Truyện con chó Berganza ,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Lịch sử (ngắn) văn chương Đức,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Le Spleen de Paris ,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Middlemarch - Tập 2 ,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Truyện Gil-Blas (tập 1),1200,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Truyện Gil-Blas (tập 2) ,1000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Đốc tờ Héraclius Gloss,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Đoản luận về giáo dục,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Tiệc vườn,1500,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
